I,SoC,V
-15.1,41,545.1
-15.2,41,545.1
-15,41,545.1
-15,41,545.1
-15,41,545.1
-15.1,41,545.4
-15.1,41,545.4
-15.1,41,544.5
-15,41,545.3
-15,41,545.3
-15.2,41,545.3
-15,41,544.7
-15.1,41,544.5
-15.2,41,544.7
-15.2,41,545.1
-15.2,41,544.9
-15.2,41,544.9
-15,41,544.7
-15.3,41,544.7
-15.1,41,543.8
-15,41,544.7
-15.1,41,544.7
-15.1,41,544.7
-15,41,544.7
-15,41,544.7
-15.2,41,543.8
-15.2,41,545.3
-15.1,41,544.7
-15.2,41,544.9
-15.2,41,545.3
-15.2,41,545.3
-15.1,41,544.7
-15.2,41,545.1
-15.2,41,544.5
-15.1,41,544.7
-15.3,41,545.1
-15.1,41,544.5
-15.1,41,544.7
-15.1,41,544.7
-15.2,41,543.6
-15.2,41,544.7
-15.2,41,545.1
-15.3,41,544.7
-15,41,543.6
-15.1,41,545.1
-15.2,41,545.1
-15.2,41,545.1
-15,41,545.1
-15.2,41,544.7
-15.1,41,544.5
-15,41,544.7
-15,41,544.7
-15.2,41,544.5
-15.1,41,543.6
-15.2,41,543.6
-15.2,41,543.2
-15.1,41,544.7
-15,41,543.2
-15.1,41,544.7
-15.1,41,543.2
-15.1,41,543.4
-15,41,544.7
-15.3,41,543.6
-15.2,41,544.5
-12.6,41,544.7
-12.6,41,543.6
-12.6,41,543.6
-12.4,41,544.7
-12.4,41,545.8
-12.4,41,545.1
-12.6,40,543.6
-12.4,40,543.8
-12.6,40,545.1
-12.6,40,544.7
-12.7,40,544.7
-12.5,40,544.7
-12.5,40,544.7
-12.6,40,545.1
-12.5,40,544.9
-12.5,40,544.7
-12.4,40,545.3
-12.6,40,544.5
-12.6,40,543.6
-12.4,40,544.5
-12.6,40,544.5
-12.5,40,544.7
-12.5,40,545.4
-12.5,40,545.4
-12.4,40,545.4
-12.4,40,544.7
-12.4,40,545.8
-12.5,40,544.7
-12.6,40,544.7
-12.6,40,544.7
-12.5,40,544.7
-12.6,40,544.7
-12.6,40,543.8
-12.6,40,543.8
-12.4,40,543.8
-12.4,40,545.4
-12.4,40,545.4
-12.5,40,545.3
-12.4,40,543.6
-12.4,40,543.6
-12.4,40,545.3
-12.5,40,544.7
-12.6,40,545.3
-12.6,40,543.8
-12.6,40,543.8
-12.5,40,545.4
-12.5,40,545.4
-12.5,40,543.6
-12.6,40,544.7
-12.6,40,543.8
-12.6,40,543.8
-12.4,40,544.7
-12.4,40,544.7
-12.4,40,544.7
-12.4,40,544.9
-12.6,40,544.7
-12.6,40,544.7
-12.6,40,544.7
-12.6,40,544.7
-12.6,40,545.4
-12.6,40,545.4
-12.5,40,543.4
-12.6,40,545.1
-12.4,40,544.7
-12.4,40,544.7
-12.5,40,544.7
-12.5,40,545.3
-12.5,40,543.2
-12.4,40,543.6
