soc,temp,r1,soh
0.5,40,0.005436850970194414,0.6
0.6,10,0.011157524065968715,0.6
0.6,25,0.007293560461828282,0.6
0.6,40,0.005096044927208854,0.6
0.7000000000000001,25,0.008330989608480801,0.6
0.7000000000000001,40,0.005610133497326301,0.6
0.8,10,0.01028055239633642,0.6
0.8,25,0.007621233327887632,0.6
0.8,40,0.005124356609237538,0.6
0.9,10,0.0111963312855305,0.6
0.9,25,0.007164922833092325,0.6
0.9,40,0.005007385755018,0.6
1.0,25,0.006947603319027534,0.6
1.0,40,0.0060810690452764,0.6
