soc,c,temp,soh
0.3,19710.47594485916,10,0.8
0.4,16571.148279488523,10,0.8
0.5,15090.532769280058,10,0.8
0.6,14706.922464630636,10,0.8
0.7,26097.54371473391,10,0.8
0.8,13428.231584235671,10,0.8
0.9,14654.079557228546,10,0.8
1.0,17075.713286379636,10,0.8
0.0,188.2588939143888,10,0.7
0.1,2739.681177709336,10,0.7
0.2,9838.999792480903,10,0.7
0.3,14782.856958644365,10,0.7
0.4,12428.361209616389,10,0.7
0.5,11317.89957696004,10,0.7
0.6,11030.191848472976,10,0.7
0.7,19573.157786050433,10,0.7
0.8,10071.173688176752,10,0.7
0.9,10990.559667921409,10,0.7
1.0,12806.784964784723,10,0.7
0.0,125.50592927625922,10,0.6
0.1,1826.4541184728907,10,0.6
0.2,6559.333194987269,10,0.6
0.3,9855.237972429575,10,0.6
0.4,8285.57413974426,10,0.6
0.5,7545.266384640028,10,0.6
0.6,7353.461232315319,10,0.6
0.7,13048.771857366955,10,0.6
0.8,6714.115792117836,10,0.6
0.9,7327.039778614272,10,0.6
1.0,8537.856643189816,10,0.6
0.0,46674.823027538565,40,1.0
0.1,42996.36285896458,40,1.0
0.2,40312.20193731854,40,1.0
0.3,52543.35293635881,40,1.0
0.4,39931.79761142043,40,1.0
0.5,42066.11690705108,40,1.0
0.6,56788.69446909387,40,1.0
0.7,39092.33572606464,40,1.0
0.8,34073.073267149026,40,1.0
0.9,38306.70165687435,40,1.0
1.0,37843.62136374583,40,1.0
0.0,38895.685856282136,40,0.9
0.1,35830.30238247049,40,0.9
0.2,33593.50161443211,40,0.9
0.3,43786.12744696568,40,0.9
0.4,33276.49800951703,40,0.9
0.5,35055.097422542574,40,0.9
0.6,47323.91205757823,40,0.9
0.7,32576.946438387196,40,0.9
0.8,28394.227722624193,40,0.9
0.9,31922.251380728623,40,0.9
1.0,31536.35113645486,40,0.9
0.0,31116.548685025715,40,0.8
0.1,28664.241905976392,40,0.8
0.2,26874.801291545697,40,0.8
0.3,35028.90195757254,40,0.8
0.4,26621.19840761363,40,0.8
0.5,28044.07793803406,40,0.8
0.6,37859.12964606258,40,0.8
0.7,26061.557150709763,40,0.8
0.8,22715.382178099353,40,0.8
0.9,25537.801104582904,40,0.8
1.0,25229.080909163888,40,0.8
0.0,23337.41151376928,40,0.7
0.1,21498.18142948229,40,0.7
0.2,20156.100968659262,40,0.7
0.3,26271.6764681794,40,0.7
0.4,19965.898805710214,40,0.7
0.5,21033.05845352554,40,0.7
0.6,28394.34723454693,40,0.7
0.7,19546.167863032315,40,0.7
0.8,17036.536633574513,40,0.7
0.9,19153.35082843717,40,0.7
1.0,18921.81068187291,40,0.7
0.0,15558.274342512856,40,0.6
0.1,14332.120952988194,40,0.6
0.2,13437.400645772846,40,0.6
0.3,17514.45097878627,40,0.6
0.4,13310.599203806813,40,0.6
0.5,14022.038969017029,40,0.6
0.6,18929.56482303129,40,0.6
