temp,soc,r0,soh
10,0.75,0.005001184061079999,0.9
10,0.8,0.00503137296164625,0.9
10,0.85,0.00509823673606,0.9
10,0.9,0.005165100510473749,0.9
10,0.95,0.005231964284887499,0.9
10,1.0,0.00529882805930125,0.9
20,0.0,0.004091458783081375,0.9
20,0.05,0.004006722638583625,0.9
20,0.1,0.003936690452686124,0.9
20,0.15,0.0038943959181678748,0.9
20,0.2,0.0038628981586654996,0.9
20,0.25,0.0038581663504322497,0.9
20,0.3,0.0038555000190562496,0.9
20,0.35,0.0038598099415637498,0.9
20,0.4,0.0038574753211367495,0.9
20,0.45,0.0038226247563262496,0.9
20,0.5,0.0037888302269609994,0.9
20,0.55,0.0037635327978394993,0.9
20,0.6,0.0037385508219661247,0.9
20,0.65,0.0037193560841678745,0.9
20,0.7,0.0037001613463697497,0.9
20,0.75,0.00374582351895075,0.9
20,0.8,0.0037919719722873746,0.9
20,0.85,0.0037944639105151248,0.9
20,0.9,0.003793846453535625,0.9
20,0.95,0.003793228996556125,0.9
20,1.0,0.0037926115395765,0.9
30,0.0,0.003246314588524875,0.9
30,0.05,0.0031521207890343747,0.9
30,0.1,0.0030579269895439996,0.9
30,0.15,0.0029955736622595,0.9
30,0.2,0.00293367478404125,0.9
30,0.25,0.0029293814180128743,0.9
30,0.3,0.0029267644891665,0.9
30,0.35,0.00290695867241825,0.9
30,0.4,0.0028863919767725,0.9
30,0.45,0.0028751920171449998,0.9
30,0.5,0.002864550344750875,0.9
30,0.55,0.002851960835886375,0.9
30,0.6,0.0028392242082107503,0.9
30,0.65,0.0028176760889264997,0.9
30,0.7,0.0027953186455076245,0.9
30,0.75,0.0027950737326150003,0.9
30,0.8,0.002797238668961,0.9
30,0.85,0.0027923967455782497,0.9
30,0.9,0.0027866664575192496,0.9
30,0.95,0.002780936169460375,0.9
30,1.0,0.002775205881401375,0.9
40,0.0,0.002820343494074125,0.9
40,0.05,0.0025875825925736244,0.9
40,0.1,0.002502768306205625,0.9
40,0.15,0.0024328177875618745,0.9
40,0.2,0.00239143864064475,0.9
40,0.25,0.0023643182175748746,0.9
40,0.3,0.00235913516619225,0.9
40,0.35,0.002352093105931375,0.9
40,0.4,0.002342738310039,0.9
40,0.45,0.00232633341832825,0.9
40,0.5,0.00230280825631025,0.9
40,0.55,0.0022873564434375,0.9
40,0.6,0.0022785318785464997,0.9
40,0.65,0.0022706807678935,0.9
40,0.7,0.0022634757751457497,0.9
40,0.75,0.0022627250560725,0.9
40,0.8,0.0022654078794409997,0.9
40,0.85,0.002260895564346125,0.9
40,0.9,0.0022533659730484996,0.9
40,0.95,0.00224583638175075,0.9
40,1.0,0.0022383067904531246,0.9
0,0.0,0.010044810306370349,0.8
0,0.05,0.00821302080794055,0.8
0,0.1,0.008449836807469649,0.8
0,0.15,0.008686652806998898,0.8
0,0.2,0.008767884958637399,0.8
0,0.25,0.008813862580829699,0.8
0,0.3,0.0088470480144714,0.8
0,0.35,0.00886090846494105,0.8
0,0.4,0.008874768915410699,0.8
0,0.45,0.00882210820454955,0.8
0,0.5,0.00876817048475535,0.8
0,0.55,0.00874320203346345,0.8
0,0.6,0.00874066849111845,0.8
0,0.65,0.008733420506468848,0.8
0,0.7,0.00869860342980435,0.8
0,0.75,0.00866378635314,0.8
0,0.8,0.008722974230421449,0.8
0,0.85,0.00881717886950865,0.8
0,0.9,0.008911383508595848,0.8
0,0.95,0.009005588147682899,0.8
0,1.0,0.0090997927867701,0.8
10,0.0,0.0066218220497684995,0.8
10,0.05,0.006078975331898549,0.8
10,0.1,0.006132332207216099,0.8
10,0.15,0.006180631683877349,0.8
10,0.2,0.006217628276643899,0.8
10,0.25,0.0062469455462643,0.8
10,0.3,0.0062271203461815,0.8
10,0.35,0.006207295146098699,0.8
10,0.4,0.006168896499357899,0.8
10,0.45,0.0061297465087041,0.8
10,0.5,0.006114728098259849,0.8
10,0.55,0.00610624049109645,0.8
10,0.6,0.006066066388503449,0.8
10,0.65,0.006005885169866249,0.8
10,0.7,0.005981062811458649,0.8
10,0.75,0.006001420873295999,0.8
10,0.8,0.006037647553975499,0.8
10,0.85,0.006117884083272,0.8
10,0.9,0.006198120612568499,0.8
10,0.95,0.006278357141864999,0.8
10,1.0,0.0063585936711615,0.8
20,0.0,0.0049097505396976495,0.8
20,0.05,0.004808067166300349,0.8
20,0.1,0.00472402854322335,0.8
20,0.15,0.00467327510180145,0.8
20,0.2,0.0046354777903986,0.8
20,0.25,0.004629799620518699,0.8
20,0.3,0.004626600022867499,0.8
20,0.35,0.0046317719298765,0.8
20,0.4,0.0046289703853641,0.8
20,0.45,0.0045871497075915,0.8
20,0.5,0.004546596272353199,0.8
20,0.55,0.004516239357407399,0.8
20,0.6,0.00448626098635935,0.8
20,0.65,0.00446322730100145,0.8
20,0.7,0.0044401936156436995,0.8
20,0.75,0.0044949882227409,0.8
20,0.8,0.004550366366744849,0.8
20,0.85,0.004553356692618149,0.8
20,0.9,0.004552615744242749,0.8
20,0.95,0.0045518747958673495,0.8
20,1.0,0.0045511338474918,0.8
30,0.0,0.0038955775062298496,0.8
30,0.05,0.003782544946841249,0.8
30,0.1,0.0036695123874527997,0.8
30,0.15,0.0035946883947113994,0.8
30,0.2,0.0035204097408494998,0.8
30,0.25,0.0035152577016154493,0.8
30,0.3,0.0035121173869997998,0.8
30,0.35,0.0034883504069018996,0.8
30,0.4,0.0034636703721269996,0.8
30,0.45,0.0034502304205739995,0.8
30,0.5,0.00343746041370105,0.8
30,0.55,0.0034223530030636495,0.8
30,0.6,0.0034070690498529,0.8
30,0.65,0.0033812113067117995,0.8
30,0.7,0.0033543823746091496,0.8
30,0.75,0.003354088479138,0.8
30,0.8,0.0033566864027531995,0.8
30,0.85,0.0033508760946938995,0.8
30,0.9,0.003343999749023099,0.8
30,0.95,0.0033371234033524495,0.8
30,1.0,0.00333024705768165,0.8
40,0.0,0.00338441219288895,0.8
40,0.05,0.0031050991110883495,0.8
40,0.1,0.00300332196744675,0.8
40,0.15,0.0029193813450742495,0.8
40,0.2,0.0028697263687737,0.8
40,0.25,0.00283718186108985,0.8
40,0.3,0.0028309621994306996,0.8
40,0.35,0.0028225117271176497,0.8
40,0.4,0.0028112859720468,0.8
40,0.45,0.0027916001019939,0.8
40,0.5,0.0027633699075722998,0.8
40,0.55,0.0027448277321249995,0.8
40,0.6,0.0027342382542557995,0.8
40,0.65,0.0027248169214722,0.8
40,0.7,0.0027161709301748997,0.8
40,0.75,0.0027152700672869994,0.8
40,0.8,0.0027184894553292,0.8
40,0.85,0.00271307467721535,0.8
40,0.9,0.0027040391676582,0.8
40,0.95,0.0026950036581009,0.8
40,1.0,0.0026859681485437497,0.8
0,0.0,0.011718945357432075,0.7
0,0.05,0.009581857609263975,0.7
0,0.1,0.009858142942047926,0.7
0,0.15,0.01013442827483205,0.7
0,0.2,0.0102291991184103,0.7
0,0.25,0.01028283967763465,0.7
0,0.3,0.0103215560168833,0.7
0,0.35,0.010337726542431225,0.7
0,0.4,0.010353897067979151,0.7
0,0.45,0.010292459571974475,0.7
0,0.5,0.010229532232214575,0.7
0,0.55,0.010200402372374025,0.7
0,0.6,0.010197446572971525,0.7
0,0.65,0.010188990590880326,0.7
