Soc,r0,r1,c,OCV,Temp,DBSCANclusters
100,0.0020256036926988427,0.0030814918568167486,36771.16714339856,4.063857142857144,40,2
80,0.002130661930764383,0.0022582752859306703,35708.44934722172,3.947,40,2
70,0.0021636001161402865,0.002235097381762443,37549.43237702466,3.861,40,2
60,0.002238005898404951,0.0024439152938951496,51967.64486402859,3.763,40,2
50,0.001990328856733663,0.002042424942128651,47398.60597568369,3.706,40,2
40,0.002130651930167579,0.00307434833025099,34472.973546108,3.671,40,2
30,0.0019371323767812937,0.002739569282871894,44104.75736499179,3.638,40,2
20,0.002089527626711967,0.0028330563128763984,43459.924506796066,3.587,40,2
90,0.0019000864583855201,0.001986335644282627,46449.47515913619,4.042,40,2
50,0.002077469047595591,0.002757126744336448,40214.41870754699,3.706,40,2
40,0.002005724966541555,0.003160850810925786,40813.03299220463,3.67,40,2
30,0.0019742596006087246,0.0026848384766489683,45507.95435176927,3.637,40,2
20,0.0021689119858778645,0.002138968002892047,32841.60301750593,3.585,40,2
50,0.0018915477724975032,0.002969109089949941,42338.91919282776,3.703,40,2
40,0.0019401801805792786,0.0028029204190407773,38124.70891965424,3.667,40,2
20,0.0020948894171265355,0.0030858882949492536,44331.564393700246,3.582,40,2
100,0.0020977132386407983,0.0029995771884597185,42215.513684766156,4.063678571428571,40,2
80,0.0020507755677388337,0.002939683857793327,44832.72775424078,3.946,40,2
60,0.0021625848875603867,0.002646632110350326,52852.646897443665,3.761,40,2
50,0.0020775859553054123,0.003048724926360054,38879.86046428741,3.704,40,2
40,0.0020650267384718845,0.0025227349465169863,31869.72908854588,3.668,40,2
30,0.00204612659606168,0.002375193177229094,41448.61520108165,3.635,40,2
20,0.002080908470807965,0.0029954398268972975,42873.50087849705,3.584,40,2
50,0.002009474883566503,0.0020395047246733735,44678.386282597436,3.709,40,2
40,0.0019818571766201257,0.0026699685982581873,31940.374752870885,3.672,40,2
30,0.001907661512204311,0.0034233905168846845,39382.21798360727,3.64,40,2
20,0.0020234036330471347,0.0021471726687491656,45865.53648179165,3.588,40,2
