Soc,r0,r1,c,Temp,DBSCANclusters
100,0.003878370678981829,0.004095441259241232,26201.1708964526,10,0
90,0.00409269964700466,0.004027159932607938,21476.28899397544,10,0
80,0.00448979591836735,0.005288901280174341,21858.98844786704,10,0
60,0.004758702736254101,0.00489410884908581,20804.02472232578,10,0
50,0.004897709300545894,0.005129173073812665,21700.11850368804,10,0
40,0.00533472803347282,0.006096704050445267,23783.68667522644,10,0
30,0.005816029794398238,0.006787277919869106,33432.93016129918,10,0
20,0.005627749923257972,0.007751804464002032,17305.04483205717,10,0
100,0.003704851718912375,0.004164515031706102,24712.49768777189,10,0
90,0.003979388806693551,0.003772210285508781,23122.60768260965,10,0
80,0.004332800330118147,0.00540132046411379,20078.05188649332,10,0
60,0.004745447980605588,0.004801381937576399,23037.11505479639,10,0
50,0.00491123957640559,0.005075421705980854,22903.52347364002,10,0
40,0.005006508460999325,0.005981583102670496,26677.82587828258,10,0
30,0.005204081632653032,0.007228710628930046,28267.5567557938,10,0
20,0.006326530612244882,0.006937616811849234,25003.51984216893,10,0
100,0.003789440548193938,0.003786412439831005,27532.75689768087,10,0
90,0.003856497691175706,0.003744081766574925,23033.58328878522,10,0
80,0.004241452438835144,0.005537936287561496,19444.40239800474,10,0
60,0.004758702736254101,0.004881425292526331,23436.42197399462,10,0
50,0.005246913580246885,0.004920498442811838,25617.66131563008,10,0
40,0.0051478752397295,0.005919998736044429,26524.23084896042,10,0
30,0.005291812954765181,0.00744179663743616,29169.57931515987,10,0
20,0.005753138075313824,0.00819131566802389,19032.26459063249,10,0
100,0.003969616888126228,0.004047738983052536,26831.26097372813,10,0
90,0.004195017138179765,0.003928212885552784,22748.94082256601,10,0
80,0.00459183673469387,0.005291974672559596,21768.6449832547,10,0
60,0.004758702736254101,0.004896892831481758,20842.84875366322,10,0
50,0.004897709300545894,0.005131800882485771,21692.06523373926,10,0
40,0.00533472803347282,0.006100027970716515,23777.76210930047,10,0
30,0.005816029794398238,0.006789053044221949,33324.18399272268,10,0
20,0.005627749923257972,0.007754827444371837,17236.37693768355,10,0
100,0.003686429948801332,0.004167399593963885,24744.88185478332,10,0
90,0.003979388806693551,0.003775201042202414,23176.45592650431,10,0
80,0.004332800330118147,0.005404204689686165,20019.43626502317,10,0
60,0.00464228606798374,0.004803166173520945,23061.66877939698,10,0
50,0.00491123957640559,0.005078181719411767,22973.00214976387,10,0
40,0.005006508460999325,0.005983691250856293,26643.21553701385,10,0
30,0.005204081632653032,0.007231246597449004,28169.01262397858,10,0
20,0.006326530612244882,0.006940122889546152,24946.35153042823,10,0
100,0.003793045502843607,0.00378519394932303,27505.35619426001,10,0
90,0.003856497691175706,0.003745918860649122,22958.10025114391,10,0
80,0.004241452438835144,0.005540805097901447,19441.8917047041,10,0
60,0.004758702736254101,0.004882920181930817,23406.63670088422,10,0
50,0.005246913580246885,0.004922972178883156,25601.62484437893,10,0
40,0.005046936509538737,0.006021139402107356,25236.63664366904,10,0
30,0.005291812954765181,0.007444231155408043,29182.19210584802,10,0
20,0.005753138075313824,0.008192811206013562,19010.63245085115,10,0
