temp,soc,c,soh
30,0.9,17291.0806870524,1.0
30,0.95,13993.0203499723,1.0
30,1.0,10694.9600128923,1.0
40,0.0,12500.0,1.0
40,0.05,14778.3313432087,1.0
40,0.1,16828.6235440446,1.0
40,0.15,19003.1542978902,1.0
40,0.2,21416.4983826924,1.0
40,0.25,24179.8718572875,1.0
40,0.3,27481.7735275019,1.0
40,0.35,29140.7554844248,1.0
40,0.4,28755.8316781002,1.0
40,0.45,27795.9918197639,1.0
40,0.5,26255.5133715658,1.0
40,0.55,25115.1561833649,1.0
40,0.6,24303.2503930983,1.0
40,0.65,30199.3417699096,1.0
40,0.7,40547.7811965492,1.0
40,0.75,37546.7950266708,1.0
40,0.8,27444.1857043381,1.0
40,0.85,22034.5605473862,1.0
40,0.9,18592.9349660142,1.0
40,0.95,15151.3093846421,1.0
40,1.0,11709.6838032701,1.0
0,0.0,130.82341939296,0.9
0,0.05,417.43921464825564,0.9
0,0.1,1303.71850239638,0.9
0,0.15,2189.9977901445,0.9
0,0.2,3077.27508949406,0.9
0,0.25,3964.7785333301167,0.9
0,0.3,4683.008810386506,0.9
0,0.35,5145.52044426469,0.9
0,0.4,5608.0320781428745,0.9
0,0.45,5923.228370811212,0.9
0,0.5,6235.596646004521,0.9
0,0.55,6544.911633902119,0.9
0,0.6,6851.8620393988185,0.9
0,0.65,7136.589273433156,0.9
0,0.7,7291.359957079984,0.9
0,0.75,7446.13064072682,0.9
0,0.8,7079.896606161418,0.9
0,0.85,6519.58877706206,0.9
0,0.9,5959.280947962712,0.9
0,0.95,5398.973118863354,0.9
0,1.0,4838.665289764005,0.9
10,0.0,173.2458294171395,0.9
10,0.05,1330.2673035721386,0.9
10,0.1,3588.5156896672734,0.9
10,0.15,5778.464994766502,0.9
10,0.2,7815.771284140688,0.9
10,0.25,9640.189508286487,0.9
10,0.3,10102.268227170527,0.9
10,0.35,10564.346946054651,0.9
10,0.4,10498.422268336624,0.9
10,0.45,10411.138488810413,0.9
10,0.5,10571.626947465587,0.9
10,0.55,10799.170763953774,0.9
10,0.6,11142.794081130512,0.9
10,0.65,11559.710957886262,0.9
10,0.7,11984.897624586512,0.9
10,0.75,12420.651164274062,0.9
10,0.8,12368.016414831263,0.9
10,0.85,10960.891089697587,0.9
10,0.9,9553.765764563912,0.9
10,0.95,8146.6404394301935,0.9
10,1.0,6739.515114296519,0.9
20,0.0,288.31423707865014,0.9
20,0.05,3400.4289710822286,0.9
20,0.1,6661.3474231837845,0.9
20,0.15,10202.970260324015,0.9
