soc,c,temp,soh
40,10357.543108035472,10,0.9
50,9481.08484654786,10,0.9
60,9396.45361793206,10,0.9
70,18204.3857353426,10,0.9
80,8555.36754580808,10,0.9
90,8987.657711927237,10,0.9
100,10030.5508526247,10,0.9
0,172.7692956855564,10,0.9
10,2757.835919258722,10,0.9
20,10372.933791648033,10,0.9
30,15662.826373449541,10,0.9
40,12083.800292708052,10,0.9
50,11061.265654305837,10,0.9
60,10962.529220920738,10,0.9
70,21238.450024566366,10,0.9
80,9981.262136776097,10,0.9
90,10485.600663915113,10,0.9
100,11702.309328062152,10,0.9
0,197.45062364063588,10,0.9
10,3151.812479152825,10,0.9
20,11854.781476169182,10,0.9
30,17900.372998228046,10,0.9
40,13810.05747738063,10,0.9
50,12641.446462063814,10,0.9
60,12528.604823909416,10,0.9
70,24272.514313790136,10,0.9
80,11407.15672774411,10,0.9
90,11983.543615902983,10,0.9
100,13374.067803499602,10,0.9
0,78.98024945625437,10,0.8
10,1260.72499166113,10,0.8
20,4741.912590467673,10,0.8
30,7160.149199291219,10,0.8
40,5524.022990952253,10,0.8
50,5056.5785848255255,10,0.8
60,5011.441929563766,10,0.8
70,9709.005725516054,10,0.8
80,4562.862691097644,10,0.8
90,4793.417446361194,10,0.8
100,5349.627121399842,10,0.8
0,98.72531182031796,10,0.8
10,1575.9062395764124,10,0.8
20,5927.39073808459,10,0.8
30,8950.186499114023,10,0.8
40,6905.0287386903165,10,0.8
50,6320.723231031907,10,0.8
60,6264.302411954708,10,0.8
70,12136.257156895068,10,0.8
80,5703.578363872055,10,0.8
90,5991.7718079514925,10,0.8
100,6687.033901749801,10,0.8
0,118.47037418438154,10,0.8
10,1891.0874874916947,10,0.8
20,7112.8688857015095,10,0.8
30,10740.22379893683,10,0.8
40,8286.03448642838,10,0.8
50,7584.867877238288,10,0.8
60,7517.162894345649,10,0.8
70,14563.50858827408,10,0.8
80,6844.294036646465,10,0.8
90,7190.12616954179,10,0.8
100,8024.440682099761,10,0.8
